asset,date,open,high,low,close,volume
MGC,2026-02-27,5249.2,5298.8,5230.7,5296.9,173242
MGC,2026-03-02,5347.0,5369.8,5273.1,5335.9,236971
MGC,2026-03-03,5155.6,5161.4,5005.0,5099.2,284406
MGC,2026-03-04,5176.1,5195.0,5118.7,5152.5,174034
MGC,2026-03-05,5128.8,5132.9,5057.1,5092.3,198297
MGC,2026-03-06,5112.8,5184.4,5091.9,5179.0,164888
MGC,2026-03-09,5102.5,5157.8,5067.4,5148.3,142817
MGC,2026-03-10,5231.0,5248.7,5169.1,5198.0,153746
MGC,2026-03-11,5189.1,5204.2,5156.0,5183.9,118253
MGC,2026-03-12,5177.2,5177.5,5058.1,5084.0,161589
MGC,2026-03-13,5114.5,5123.2,5014.3,5023.0,166180
MGC,2026-03-16,5027.0,5044.5,4978.5,5012.0,140955
MGC,2026-03-17,5017.4,5036.8,4977.3,5011.7,127190
MGC,2026-03-18,4864.3,4904.4,4809.4,4823.9,202264
MGC,2026-03-19,4579.2,4667.0,4540.5,4651.9,299983
MGC,2026-03-20,4661.2,4666.6,4478.0,4490.4,297985
MGC,2026-03-23,4412.1,4516.0,4351.0,4409.6,273791
MGC,2026-03-24,4357.7,4485.8,4350.5,4478.5,223158
MGC,2026-03-25,4567.7,4577.8,4484.4,4503.9,194861
MGC,2026-03-26,4444.9,4477.0,4348.4,4374.6,220576
MGC,2026-03-27,4416.4,4552.5,4408.2,4488.9,24874
MGC,2026-03-30,4566.4,4571.7,4492.6,4508.7,1412
MNQ,2025-02-25,22431.442967,22437.996886,22011.205685,22226.174226,1673483
MNQ,2025-02-26,22271.265188,22450.842567,22089.066242,22309.540075,1455770
MNQ,2025-02-27,22378.225146,22420.69454,21583.365856,21636.583678,2016426
MNQ,2025-02-28,21592.017029,21962.706685,21455.171202,21926.791209,1873414
MNQ,2025-03-03,22079.628599,22147.789356,21305.479693,21529.361564,1936225
MNQ,2025-03-04,21331.695369,21741.184224,21051.974109,21534.866856,1930389
MNQ,2025-03-05,21414.274748,21733.319522,21197.995423,21612.465256,1812520
MNQ,2025-03-06,21298.663618,21510.748435,20975.424335,21156.312498,1876932
MNQ,2025-03-07,21011.601968,21273.234412,20727.161886,21189.606406,2147066
MNQ,2025-03-10,20848.540465,20869.775162,20208.877976,20418.865539,1992694
MNQ,2025-03-11,20364.336933,20644.844664,20134.687614,20343.102236,2248548
